peak_index	scan_num	mz	intensity	fwhm	signal_noise	MSFeatureID
415	6005	680.02582	530331	0.0132	5.34	-1
416	6005	680.35828	795812	0.0144	8.02	-1
417	6005	681.35308	733365	0.014	7.39	-1
418	6005	681.81093	278477	0.0226	2.81	-1
419	6005	681.8273	404289	0.0293	4.07	-1
420	6005	681.85337	354947	0.0141	3.58	-1
421	6005	682.85912	642108	0.014	6.47	-1
422	6005	683.36028	419691	0.0137	4.23	-1
423	6005	686.34681	693280	0.0134	6.99	-1
424	6005	686.36555	228196	0.0163	2.3	-1
425	6005	686.5988	476113	0.0124	4.8	-1
426	6005	686.84819	562846	0.013	5.67	-1
427	6005	687.40054	994578	0.0132	10.02	-1
428	6005	688.40354	252002	0.0126	2.54	-1
429	6005	688.82467	272334	0.0166	2.74	-1
430	6005	688.88215	441430	0.0155	4.45	-1
431	6005	690.72019	495645	0.0131	4.99	-1
432	6005	691.05418	700765	0.014	7.06	-1
433	6005	691.34842	1505670	0.0133	15.17	-1
434	6005	691.38864	286806	0.0129	2.89	-1
435	6005	691.84963	960809	0.0142	9.68	-1
436	6005	692.35034	390102	0.0151	3.93	-1
437	6005	692.36632	343611	0.0155	3.46	-1
438	6005	692.69824	215127	0.0143	2.17	-1
439	6005	693.02136	204698	0.0168	2.06	-1
440	6005	693.35351	352988	0.0163	3.56	-1
441	6005	694.71286	264941	0.0149	2.67	-1
442	6005	695.33736	325599	0.0148	3.28	-1
443	6005	696.38989	274213	0.015	2.76	-1
444	6005	696.86305	246481	0.018	2.48	-1
445	6005	696.89233	204092	0.0132	2.06	-1
446	6005	698.38778	325819	0.0133	3.28	-1
447	6005	698.83493	302869	0.0194	3.05	-1
448	6005	699.05665	244666	0.0127	2.47	-1
449	6005	700.43203	211575	0.0138	2.13	-1
450	6005	701.37906	386906	0.0155	3.9	-1
451	6005	702.38473	247584	0.0266	2.49	-1
452	6005	702.39325	214238	0.0123	2.16	-1
453	6005	704.37136	236955	0.0291	2.39	-1
454	6005	704.6067	741808	0.0146	7.48	-1
455	6005	704.85828	976827	0.0145	9.84	-1
456	6005	705.10821	1154866	0.0146	11.64	-1
457	6005	705.33098	470552	0.0139	4.74	-1
458	6005	705.3594	484479	0.0138	4.88	-1
459	6005	705.60932	302763	0.0145	3.05	-1
460	6005	706.41024	461344	0.0139	4.65	-1
461	6005	706.67411	245583	0.013	2.47	-1
462	6005	707.00855	336797	0.0134	3.39	-1
463	6005	707.36881	1020974	0.0136	10.29	-1
464	6005	707.39763	1927814	0.0147	19.43	-1
465	6005	707.89961	995673	0.0141	10.03	-1
466	6005	708.24858	312550	0.0126	3.15	-1
467	6005	708.35498	385302	0.0232	3.88	-1
468	6005	708.36937	412044	0.0284	4.15	-1
469	6005	708.40037	456482	0.0139	4.6	-1
470	6005	708.99577	223189	0.0123	2.25	-1
471	6005	709.33039	281605	0.0134	2.84	-1
472	6005	709.66421	258629	0.013	2.61	-1
473	6005	711.37392	219927	0.0272	2.22	-1
474	6005	712.36283	286187	0.013	2.88	-1
475	6005	714.87384	817494	0.0145	8.24	-1
476	6005	715.3616	300775	0.0102	3.03	-1
477	6005	715.37659	643391	0.0118	6.48	-1
478	6005	715.86841	234557	0.0217	2.36	-1
479	6005	716.38022	368899	0.1387	3.72	-1
480	6005	716.39359	487576	0.028	4.91	-1
481	6005	716.41389	227168	0.0228	2.29	-1
482	6005	716.81406	229911	0.0231	2.32	-1
