frame_num,ims_scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,orig_intensity,TIA_orig_intensity,drift_time
500,252,2,4432,414.7605,1.0176,828.03195,827.50535,827.50535,0.0597,136.53,2594,0,0,0,0
500,252,2,6012,418.71967,0.345,835.80388,835.42369,835.42369,0.0571,620.83,3725,0,0,0,0
500,252,3,2859,422.88714,0.6867,1266.1097,1265.63794,1265.63794,0.0536,71.38,1499,0,0,0,0
500,252,3,945,429.22206,0.469,1285.05348,1284.64271,1284.64271,0.0698,8.51,553,0,0,0,0
500,253,1,2854,414.75722,0.9561,413.94652,413.74939,413.74939,0.0562,120.63,2292,0,0,0,0
500,253,2,1358,421.23231,0.0615,840.9501,840.44395,841.44681,0.0506,14.38,676,0,0,0,0
500,253,3,17940,540.92706,0.7752,1620.18793,1619.7577,1619.7577,0.074,787.08,10232,0,0,0,0
500,254,1,1100,408.72629,0.0877,408.11452,407.71847,407.71847,0.0532,22.2,666,0,0,0,0
500,254,2,2480,414.75417,0.8257,827.84666,827.49268,827.49268,0.0578,43.22,1599,0,0,0,0
500,254,3,35955,540.92413,3.4151,1620.39324,1619.74892,1619.74892,0.0708,2006.22,18056,0,0,0,0
500,255,3,1280,381.2248,0.2432,1141.18143,1140.64961,1141.65247,0.0767,100.33,602,0,0,0,0
500,255,3,51160,540.92311,1.7284,1620.40012,1619.74587,1619.74587,0.0694,945.44,25527,0,0,0,0
500,256,3,4150,381.22719,0.2921,1141.05657,1140.6581,1140.6581,0.0612,146.71,2494,0,0,0,0
500,256,3,1036,440.5489,0.8217,1319.08081,1318.62322,1318.62322,0.0483,51.09,562,0,0,0,0
500,256,3,2104,472.88872,0.3763,1416.24848,1415.63717,1416.64002,0.0563,413,826,0,0,0,0
500,256,3,28842,541.26259,0.4309,1621.2024,1620.76429,1620.76429,0.0708,946.26,17979,0,0,0,0
500,257,3,8578,381.22938,1.8884,1141.28738,1140.66467,1140.66467,0.0571,281.44,4503,0,0,0,0
500,257,2,1598,405.21846,0.0242,808.92668,808.42669,809.42955,0.0513,36.23,797,0,0,0,0
500,257,2,1240,412.73695,0.7092,823.84027,823.45825,823.45825,0.0685,76.7,767,0,0,0,0
500,257,4,2340,425.96537,0.7138,1700.40054,1699.82855,1700.83141,0.0701,24.56,1007,0,0,0,0
500,257,2,1164,451.74774,0.3763,901.85729,901.47983,901.47983,0.0758,182,728,0,0,0,0
500,257,1,18172,540.922,0.2204,539.99466,539.91417,539.91417,0.0708,1520,16720,0,0,0,0
500,258,2,1835,408.73794,0.2034,815.87321,815.46023,815.46023,0.0572,49.18,1082,0,0,0,0
500,258,1,3314,412.74218,0.7497,411.98894,411.73436,411.73436,0.0413,123.5,2470,0,0,0,0
500,258,3,20948,540.92098,1.8762,1620.56413,1619.73946,1619.73946,0.0714,127.85,8566,0,0,0,0
500,259,2,1837,408.73801,0.7504,815.83223,815.46038,815.46038,0.0424,32.14,1157,0,0,0,0
500,259,1,6331,412.74132,0.6526,411.85959,411.7335,411.7335,0.0477,395.43,5536,0,0,0,0
500,259,4,937,425.72987,0.7206,1699.45875,1698.89026,1699.89312,0.0548,7.64,405,0,0,0,0
500,259,2,1429,430.25492,0.8526,858.84929,858.49419,858.49419,0.0528,15.33,920,0,0,0,0
500,259,3,1556,472.89554,0.9872,1416.96548,1415.63762,1416.64048,0.0458,47.94,815,0,0,0,0
500,259,3,12357,540.91862,0.7481,1620.50775,1619.73238,1619.73238,0.0724,93.55,5145,0,0,0,0
500,260,2,9453,412.73949,0.8719,823.83216,823.46333,823.46333,0.0519,1727.75,6911,0,0,0,0
500,260,3,1509,422.89697,0.1008,1266.10955,1265.66744,1265.66744,0.0562,41.75,835,0,0,0,0
500,260,4,4453,438.4914,0.3981,1750.30102,1749.93431,1749.93431,0.0555,164.47,2796,0,0,0,0
500,260,1,1104,452.25593,0.3175,451.61473,451.24811,451.24811,0.0693,12.98,701,0,0,0,0
500,260,2,2886,466.75957,0.2986,931.80247,931.5035,931.5035,0.0495,29.04,2033,0,0,0,0
500,260,3,1032,472.89536,0.8768,1416.14683,1415.66262,1415.66262,0.0531,31.59,537,0,0,0,0
500,260,2,953,481.73372,0.1291,961.88318,961.45179,961.45179,0.0933,67.88,543,0,0,0,0
500,260,3,9671,540.92288,0.6145,1620.44899,1619.74518,1619.74518,0.0708,309.93,4649,0,0,0,0
500,261,3,1305,422.89645,0.0498,1266.12221,1265.66586,1265.66586,0.0643,21.45,708,0,0,0,0
500,261,1,1177,451.73814,0.4769,451.06278,450.73031,450.73031,0.058,786,786,0,0,0,0
500,261,2,2502,466.76441,0.5103,931.85701,931.51318,931.51318,0.0523,61.07,1649,0,0,0,0
500,261,1,5463,540.921,0.4918,540.05978,539.91318,539.91318,0.0685,311,4665,0,0,0,0
500,262,2,5942,412.74009,0.1101,823.67639,823.46453,823.46453,0.0556,1560.67,4682,0,0,0,0
500,262,2,3254,423.74119,0.3265,845.73324,845.46674,845.46674,0.0469,797.33,2392,0,0,0,0
500,262,2,1287,451.74083,0.7653,901.85252,901.466,901.466,0.0641,112.71,789,0,0,0,0
500,263,2,1215,480.74366,0.4754,959.92955,959.47168,959.47168,0.0559,59.82,658,0,0,0,0
500,263,1,4259,540.92304,0.6932,540.21334,539.91522,539.91522,0.0822,157.37,2990,0,0,0,0
500,264,2,989,458.76521,0.924,915.86652,915.51476,915.51476,0.0716,320.5,641,0,0,0,0
500,264,1,1449,463.23737,0.8731,462.46883,462.22955,462.22955,0.0499,110.4,1104,0,0,0,0
500,264,2,1390,480.74303,0.2347,959.87849,959.47041,959.47041,0.058,74.82,823,0,0,0,0
500,264,2,1622,494.25352,0.4525,986.73501,986.49138,986.49138,0.0518,61.25,1225,0,0,0,0
500,264,1,4200,540.92748,0.8959,540.16419,539.91966,539.91966,0.0858,635.6,3178,0,0,0,0
500,265,1,1349,480.7297,0.3982,480.0805,479.72187,479.72187,0.1165,66.69,867,0,0,0,0
500,265,2,1725,494.25078,0.3872,986.71632,986.48592,986.48592,0.0571,35.89,1328,0,0,0,0
500,266,2,965,480.74398,0.9973,959.8176,959.47232,959.47232,0.1005,15.1,634,0,0,0,0
500,266,3,8183,540.92497,0.9554,1621.19214,1619.73144,1620.7343,0.0656,7464,7464,0,0,0,0
500,266,3,2482,584.31403,0.4697,1750.31066,1749.9186,1749.9186,0.0705,168.67,1518,0,0,0,0
500,267,4,1074,492.74202,0.0096,1967.24143,1966.9368,1966.9368,0.058,93.75,750,0,0,0,0
500,267,3,7053,540.92784,0.9889,1621.08489,1619.73279,1620.73565,0.0634,7033,7033,0,0,0,0
500,267,3,4059,584.31463,0.3914,1750.29656,1749.92042,1749.92042,0.0729,127.75,2555,0,0,0,0
500,268,2,1132,478.73329,0.4644,955.8027,955.45094,955.45094,0.0805,45.75,732,0,0,0,0
500,268,3,5263,584.31732,1.3275,1750.60295,1749.92847,1749.92847,0.0771,128.25,2565,0,0,0,0
500,269,2,1642,492.73811,0.4031,983.83326,983.46056,983.46056,0.0772,14.39,1036,0,0,0,0
500,269,2,3734,511.28202,0.4915,1020.80799,1020.5484,1020.5484,0.0622,102.22,2760,0,0,0,0
500,269,3,2276,540.58523,0.9755,1621.0212,1618.73223,1620.7372,0,0,0,0,0,0,0
500,269,3,4243,584.31791,0.8049,1750.38528,1749.93026,1749.93026,0.083,115.7,2314,0,0,0,0
500,269,3,1898,584.29913,0.164,1752.19813,1749.87392,1751.87895,0,0,0,0,0,0,0
500,270,1,1219,456.24514,0.7436,455.50977,455.23732,455.23732,0.063,889,889,0,0,0,0
500,270,1,3927,511.28366,0.6195,510.42853,510.27583,510.27583,0.0642,123.33,3330,0,0,0,0
500,270,3,4030,584.32024,0.5971,1750.34679,1749.93725,1749.93725,0.0706,785.33,2356,0,0,0,0
500,271,2,1538,434.21332,0.7397,866.68417,866.41098,866.41098,0.0528,223.2,1116,0,0,0,0
500,271,2,4786,487.77234,0.373,973.75147,973.52904,973.52904,0.0617,337.64,3714,0,0,0,0
500,271,2,5321,511.27744,0.7836,1021.06643,1020.53924,1020.53924,0.072,289.45,3184,0,0,0,0
500,271,1,1154,524.2628,0.4141,523.62353,523.25498,523.25498,0.0458,146.2,731,0,0,0,0
500,272,2,1119,473.24226,0.176,944.89365,944.46886,944.46886,0.0625,24.96,649,0,0,0,0
500,272,2,2274,488.72806,0.5389,975.70023,975.44048,975.44048,0.07,64.65,1681,0,0,0,0
500,272,1,3847,511.2725,0.9725,510.47961,510.26467,510.26467,0.0685,275,3025,0,0,0,0
500,272,1,6059,584.31829,0.1917,583.41928,583.31047,583.31047,0.065,900.33,5402,0,0,0,0
500,273,1,3129,511.27143,0.5499,510.40464,510.26361,510.26361,0.0625,244.55,2690,0,0,0,0
500,273,2,4385,523.25561,1.4672,1045.19477,1044.49557,1044.49557,0.0692,360.5,2163,0,0,0,0
500,273,1,11379,584.31786,0.1104,583.40048,583.31003,583.31003,0.0696,1725.17,10351,0,0,0,0
500,274,2,1157,456.25471,0.0834,911.01062,910.49932,911.50218,0.068,14.84,564,0,0,0,0
500,274,2,1620,472.2738,0.8578,942.84719,942.53195,942.53195,0.06,58.47,1111,0,0,0,0
500,274,2,5783,488.7254,0.7579,975.8444,975.43515,975.43515,0.0623,107.53,3441,0,0,0,0
500,274,1,2503,511.27282,0.5043,510.39724,510.26499,510.26499,0.066,108.7,2174,0,0,0,0
500,274,2,3394,523.25423,0.8237,1044.90199,1044.49281,1044.49281,0.0729,336.67,2020,0,0,0,0
500,274,3,31320,584.31657,0.0975,1750.56324,1749.92623,1749.92623,0.0716,2581.33,15488,0,0,0,0
500,275,2,2556,472.26643,0.9791,942.86474,942.51722,942.51722,0.0597,419.25,1677,0,0,0,0
500,275,2,6215,488.72893,0.588,976.14554,975.44221,975.44221,0.0676,91.72,2935,0,0,0,0
500,275,1,2007,523.25082,0.8151,522.43802,522.24299,522.24299,0.0779,1617,1617,0,0,0,0
500,275,2,1134,533.77513,0.8478,1065.87932,1065.53461,1065.53461,0.0635,748,748,0,0,0,0
500,275,3,26283,584.31491,0.6588,1750.3518,1749.92124,1749.92124,0.0776,752.2,15044,0,0,0,0
500,276,2,3328,488.73057,0.6327,975.877,975.44549,975.44549,0.0716,118.25,1892,0,0,0,0
500,276,3,24117,584.31315,1.3541,1750.61141,1749.91598,1749.91598,0.0777,1030,11330,0,0,0,0
500,277,2,2083,472.27006,0.7789,942.82299,942.52447,942.52447,0.0552,364.5,1458,0,0,0,0
500,277,2,1378,488.72879,0.7011,975.73656,975.44194,975.44194,0.1588,162.33,974,0,0,0,0
500,277,2,1472,494.32416,0.1537,987.15231,986.63627,987.63913,0.0549,71.2,712,0,0,0,0
