scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance,flag,interference_score
104,2,2305205,729.40025,0.0555,1457.76486,1456.78705,1456.78705,0.2762,4.52,2305205,0,,0
104,3,1926490,627.3903,0.2436,1879.35658,1878.11852,1879.15071,1.6434,3.78,1926490,0,1,0.76553
104,2,2474017,822.8993,0.1343,1643.87173,1642.78213,1642.78213,0.2325,3.52,1796352,0,1,0.57934
104,1,1629123,739.77261,0.1459,739.2183,738.76588,738.76588,0.1522,3.19,1629123,0,1,0.38812
104,1,1534064,914.1512,0.1823,913.46728,912.90707,912.90707,1.7722,3.01,1534064,0,1,0.51019
124,3,9864531,609.83799,0.2316,1826.68943,1825.49083,1826.49379,0.4169,24.93,9864531,0,1,0.50637
124,3,3702940,646.4581,0.1706,1936.62781,1935.35897,1936.35411,0.2802,9.36,3702940,0,1,0.36037
124,3,5521239,614.96048,0.2786,1841.06979,1839.8559,1840.85888,0.1746,7.59,3002941,0,1,0.64771
124,2,2489182,599.2486,0.1951,1196.98211,1196.25332,1196.25332,0.714,6.29,2489182,0,1,0.35878
124,1,2321514,627.48654,0.1576,626.86307,626.47981,626.47981,0.6483,5.87,2321514,0,,0
124,2,1596363,913.6502,0.0694,1825.85365,1824.6552,1825.29841,0.7626,4.03,1596363,0,1,0.49562
124,2,1508420,729.48641,0.18,1457.93718,1456.95937,1456.95937,0.1585,3.81,1508420,0,,0
124,3,1443781,528.67196,0.2845,1584.04465,1582.99572,1582.99572,0.0907,3.65,1443781,0,,0
124,2,1263332,838.37772,0.0755,1675.72402,1674.62044,1674.62044,0.5397,3.19,1263332,0,1,0
137,2,7623754,609.30753,0.208,1217.34286,1216.6016,1216.6016,0.2725,19.73,7623754,0,,0.12858
137,2,3475561,807.86345,0.1482,1614.32749,1613.25375,1613.71344,0.7225,8.99,3475561,0,1,0.35563
137,2,2710999,822.41972,0.1744,1643.90869,1642.81924,1642.81924,0.3891,7.01,2710999,0,,0
137,1,2596861,632.46032,0.1497,631.83775,631.45359,631.45359,0.1386,6.72,2596861,0,1,0.6716
137,1,2486189,627.49374,0.1545,626.87027,626.48701,626.48701,0.6749,6.43,2486189,0,,0
137,2,2464749,646.93847,0.206,1292.6474,1291.8635,1291.8635,0.127,6.38,2464749,0,1,0.67149
137,1,2364337,631.47097,0.1474,630.84828,630.46426,630.46426,0.3444,6.12,2364337,0,,0
137,2,2701983,699.683,0.2722,1399.65456,1398.71508,1398.71508,0.4587,4.34,1676327,0,,0
137,2,1637807,528.55485,0.214,1055.74107,1055.0965,1055.0965,0.246,4.24,1637807,0,,0
137,1,1298691,838.36467,0.2346,837.86624,837.35827,837.35827,0.5586,3.36,1298691,0,1,0.71413
150,2,5342670,646.94047,0.2252,1292.65137,1291.86748,1291.86748,0.1223,14.84,5342670,0,1,0.64414
150,2,4783362,631.48127,0.1338,1261.71717,1260.9488,1260.9488,0.339,13.29,4783362,0,,0
150,2,3387018,867.93907,0.1406,1735.00872,1733.86477,1733.86477,0.1832,9.41,3387018,0,,0.51521
150,2,2814131,822.43007,0.1238,1643.93614,1642.84669,1642.84669,0.3858,7.82,2814131,0,,0
150,2,2249945,920.98035,0.0938,1841.15735,1839.94734,1840.95026,0.1837,6.25,2249945,0,,0
150,1,1701111,628.42221,0.0766,627.79905,627.41549,627.41549,0.1056,4.73,1701111,0,1,0.65754
150,1,1659927,792.39258,0.0615,791.86874,791.38616,791.38616,0.561,4.61,1659927,0,,0
150,1,1476951,637.21199,0.1182,636.59004,636.20527,636.20527,0.3153,4.1,1342578,0,1,0.40529
150,2,1470351,778.37895,0.0757,1555.78048,1554.74508,1554.74508,0.3034,4.08,1470351,0,1,0.43987
150,3,1089133,801.05914,0.1987,2400.34743,2398.79355,2400.00845,1.087,3.03,1089133,0,1,0.61912
163,2,7209718,632.45984,0.1905,1263.67491,1262.90623,1262.90623,0.1329,18.46,7209718,2209704,,0.3465
163,2,4023293,743.91868,0.2426,1486.31506,1485.32154,1485.82389,0.9272,10.3,4023293,0,1,0.60652
163,1,3627714,609.53374,0.0656,608.89707,608.52721,608.52721,0.5346,9.29,3627714,0,,0
163,2,3596406,822.42563,0.1412,1643.92726,1642.8378,1642.8378,0.3795,9.21,3596406,0,,0
163,1,2854726,867.11593,0.1638,866.64222,866.1077,866.1077,0.732,7.31,2854726,0,,0
163,1,2844624,627.50131,0.1974,626.87784,626.49458,626.49458,0.2018,7.28,2844624,0,,0
163,2,2618713,801.54807,0.1803,1601.20468,1600.1422,1600.1422,0.5026,6.71,2618713,0,1,0.44983
163,3,2188226,545.28775,0.1208,1633.93165,1632.84371,1632.84371,0.1726,5.6,2188226,0,1,0.64482
163,1,2125342,544.5515,0.1761,543.87496,543.54484,543.54484,0.4356,5.44,2125342,0,1,0
163,3,1454901,637.19274,0.2015,1908.83278,1907.58104,1908.55804,0.3183,3.73,1454901,0,1,0.65105
163,1,1419335,921.49937,0.0493,921.05406,920.4928,920.4928,0.4648,3.63,1419335,0,,0.4658
163,2,1234746,635.86186,0.1407,1270.04995,1269.27867,1269.71026,1.0552,3.16,1234746,0,1,0.58321
176,1,10791105,632.46092,0.1804,631.83835,631.45419,631.45419,0.1288,22.71,10791105,0,1,0.50069
176,1,7207176,719.72839,0.0782,719.1529,718.7128,718.7128,0.8718,15.17,7207176,0,,0.12053
176,2,6436129,631.49166,0.1221,1261.73824,1260.96986,1260.96986,0.4132,13.54,6436129,0,,0
176,2,5479458,798.80662,0.2024,1596.66154,1595.59982,1595.59982,0.1647,11.53,3917557,3298280,,0
176,2,5369956,744.38859,0.1299,1487.7574,1486.76373,1486.76373,0.2966,11.3,5369956,0,,0.27147
176,2,3736849,822.43271,0.1103,1643.94142,1642.85197,1642.85197,0.4104,7.86,3736849,0,,0
176,1,3232832,627.49907,0.2534,626.87561,626.49235,626.49235,0.1832,6.8,3232832,0,,0
